particle,repetition,dist_mm,dist_perc,C0,rpm,time,trans
NC7000,1,117.4781,50,6,600,361.65,85.01931
NC7000,1,117.4781,50,6,600,371.66,85.26489
NC7000,1,117.4781,50,6,600,381.69,84.77596
NC7000,1,117.4781,50,6,600,391.63,85.48985
NC7000,1,117.4781,50,6,600,401.7,85.26243
NC7000,1,117.4781,50,6,600,411.63,85.20484
NC7000,1,117.4781,50,6,600,421.63,85.23547
NC7000,1,117.4781,50,6,600,431.63,85.106
NC7000,1,117.4781,50,6,600,441.85,85.68745
NC7000,1,117.4781,50,6,600,451.73,86.06616
NC7000,1,117.4781,50,6,600,461.77,86.29136
NC7000,1,117.4781,50,6,600,471.7,86.8725
NC7000,1,117.4781,50,6,600,481.67,86.87148
NC7000,1,117.4781,50,6,600,491.74,86.4829
NC7000,1,117.4781,50,6,600,501.71,86.87253
NC7000,1,117.4781,50,6,600,511.65,86.58677
NC7000,1,117.4781,50,6,600,521.68,86.71224
NC7000,1,117.4781,50,6,600,531.67,86.92574
NC7000,1,117.4781,50,6,600,541.64,86.58226
NC7000,1,117.4781,50,6,600,551.63,86.88365
NC7000,1,117.4781,50,6,600,561.65,86.85465
NC7000,1,117.4781,50,6,600,571.57,87.06221
NC7000,1,117.4781,50,6,600,581.85,87.31977
NC7000,1,117.4781,50,6,600,591.79,87.04732
NC7000,1,117.4781,50,6,600,601.73,86.58759
NC7000,1,117.4781,50,6,600,611.83,86.98488
NC7000,1,117.4781,50,6,600,621.72,86.74963
NC7000,1,117.4781,50,6,600,631.75,86.71201
NC7000,1,117.4781,50,6,600,641.77,87.07381
NC7000,1,117.4781,50,6,600,651.69,86.50436
NC7000,1,117.4781,50,6,600,661.76,87.45139
NC7000,1,117.4781,50,6,600,671.74,87.25563
NC7000,1,117.4781,50,6,600,681.63,87.129
NC7000,1,117.4781,50,6,600,691.67,87.60909
NC7000,1,117.4781,50,6,600,701.6,87.95123
NC7000,1,117.4781,50,6,600,711.68,87.30385
NC7000,1,117.4781,50,6,600,721.67,87.23347
NC7000,1,117.4781,50,6,600,731.62,87.67206
NC7000,1,117.4781,50,6,600,741.81,87.66376
NC7000,1,117.4781,50,6,600,751.82,87.53922
NC7000,1,117.4781,50,6,600,761.82,87.74277
NC7000,1,117.4781,50,6,600,771.77,87.7823
NC7000,1,117.4781,50,6,600,781.79,87.73426
NC7000,1,117.4781,50,6,600,791.73,87.94093
NC7000,1,117.4781,50,6,600,801.69,88.12821
NC7000,1,117.4781,50,6,600,811.66,88.32197
NC7000,1,117.4781,50,6,600,821.69,88.17049
NC7000,1,117.4781,50,6,600,831.69,87.34846
NC7000,1,117.4781,50,6,600,841.62,87.30244
NC7000,1,117.4781,50,6,600,851.58,87.06158
NC7000,1,117.4781,50,6,600,861.65,87.49288
NC7000,1,117.4781,50,6,600,871.85,87.15999
NC7000,1,117.4781,50,6,600,881.75,87.35264
NC7000,1,117.4781,50,6,600,891.76,87.10135
NC7000,1,117.4781,50,6,600,901.73,87.59365
NC7000,1,117.4781,50,6,600,911.71,87.16903
NC7000,1,117.4781,50,6,600,921.68,87.93995
NC7000,1,117.4781,50,6,600,931.7,87.52691
NC7000,1,117.4781,50,6,600,941.79,87.48283
NC7000,1,117.4781,50,6,600,951.7,87.60469
NC7000,1,117.4781,50,6,600,961.7,88.17709
NC7000,1,117.4781,50,6,600,971.62,87.96234
NC7000,1,117.4781,50,6,600,981.72,87.57265
NC7000,1,117.4781,50,6,600,991.69,86.8726
NC7000,1,117.4781,50,6,600,1001.6,87.63626
NC7000,1,117.4781,50,6,600,1011.84,87.27066
NC7000,1,117.4781,50,6,600,1021.76,87.20399
NC7000,1,117.4781,50,6,600,1031.84,87.0508
NC7000,1,117.4781,50,6,600,1041.83,86.87879
NC7000,1,117.4781,50,6,600,1051.78,87.02178
NC7000,1,117.4781,50,6,600,1061.76,88.03196
NC7000,1,117.4781,50,6,600,1071.8,87.42629
NC7000,1,117.4781,50,6,600,1081.78,87.58411
NC7000,1,117.4781,50,6,600,1091.76,87.55016
NC7000,1,117.4781,50,6,600,1101.73,88.18923
NC7000,1,117.4781,50,6,600,1111.7,88.19195
NC7000,1,117.4781,50,6,600,1121.73,88.78769
NC7000,1,117.4781,50,6,600,1131.67,88.82901
NC7000,1,117.4781,50,6,600,1141.61,88.50924
NC7000,1,117.4781,50,6,600,1151.64,88.24271
NC7000,1,117.4781,50,6,600,1161.85,87.97831
NC7000,1,117.4781,50,6,600,1171.81,88.09579
NC7000,1,117.4781,50,6,600,1181.75,87.83813
NC7000,1,117.4781,50,6,600,1191.82,87.8803
NC7000,1,117.4781,50,6,600,1201.85,88.06545
NC7000,1,117.4781,50,6,600,1211.8,87.88972
NC7000,1,117.4781,50,6,600,1221.73,87.94035
