particle,repetition,dist_mm,dist_perc,C0,time,rpm,trans
NC7000,3,117.4781,50,14,241.02,300,20.82102
NC7000,3,117.4781,50,14,245.97,300,20.70437
NC7000,3,117.4781,50,14,251.01,300,19.17687
NC7000,3,117.4781,50,14,256.01,300,20.85959
NC7000,3,117.4781,50,14,261.01,300,19.53093
NC7000,3,117.4781,50,14,265.96,300,20.91655
NC7000,3,117.4781,50,14,270.98,300,20.69872
NC7000,3,117.4781,50,14,275.94,300,20.54587
NC7000,3,117.4781,50,14,280.97,300,20.86191
NC7000,3,117.4781,50,14,285.95,300,19.02878
NC7000,3,117.4781,50,14,290.94,300,21.08799
NC7000,3,117.4781,50,14,295.98,300,19.97438
NC7000,3,117.4781,50,14,300.98,300,21.42653
NC7000,3,117.4781,50,14,305.93,300,19.79594
NC7000,3,117.4781,50,14,310.97,300,20.26164
NC7000,3,117.4781,50,14,315.97,300,20.39532
NC7000,3,117.4781,50,14,320.94,300,19.50424
NC7000,3,117.4781,50,14,325.95,300,20.79261
NC7000,3,117.4781,50,14,330.9,300,20.60708
NC7000,3,117.4781,50,14,335.97,300,19.95899
NC7000,3,117.4781,50,14,340.96,300,20.76955
NC7000,3,117.4781,50,14,345.9,300,21.62871
NC7000,3,117.4781,50,14,350.95,300,22.2871
NC7000,3,117.4781,50,14,355.9,300,18.32888
NC7000,3,117.4781,50,14,360.92,300,21.03959
NC7000,3,117.4781,50,14,365.88,300,17.79474
NC7000,3,117.4781,50,14,370.93,300,20.6582
NC7000,3,117.4781,50,14,375.9,300,21.37624
NC7000,3,117.4781,50,14,380.89,300,21.2295
NC7000,3,117.4781,50,14,385.93,300,20.76515
NC7000,3,117.4781,50,14,390.86,300,22.23357
NC7000,3,117.4781,50,14,395.88,300,22.48736
NC7000,3,117.4781,50,14,400.88,300,24.95736
NC7000,3,117.4781,50,14,405.86,300,24.17583
NC7000,3,117.4781,50,14,410.88,300,21.15565
NC7000,3,117.4781,50,14,415.88,300,19.47553
NC7000,3,117.4781,50,14,421.06,300,21.75318
NC7000,3,117.4781,50,14,425.87,300,21.2469
NC7000,3,117.4781,50,14,431.06,300,21.05532
NC7000,3,117.4781,50,14,436.03,300,24.41451
NC7000,3,117.4781,50,14,441.05,300,24.98383
NC7000,3,117.4781,50,14,446.05,300,23.02127
NC7000,3,117.4781,50,14,451.02,300,23.09486
NC7000,3,117.4781,50,14,456.01,300,23.13005
NC7000,3,117.4781,50,14,461.07,300,22.1002
NC7000,3,117.4781,50,14,466.02,300,21.86109
NC7000,3,117.4781,50,14,471.03,300,21.99505
NC7000,3,117.4781,50,14,476.06,300,21.1848
NC7000,3,117.4781,50,14,481,300,19.78921
NC7000,3,117.4781,50,14,486.03,300,22.33188
NC7000,3,117.4781,50,14,491.03,300,23.77113
